Name		Grade	Moons	Type	ATK	HP	Card Type	Skill/Effect
Beelzebub		SS	3	Demon/Deity	2700	6000	Sacrifice	{ "hey belzie..." "Hey Azzy, you doin' good? How was your date?" "it was good, but god it was tiring...odia's a very energetic girl..." "Ha, I can believe it. There's some chocolate in the fridge if you needed it." "thanks belzie..." - Asmodeus and Beelzebub, 2311 } Once per turn, you can discard 1 card and choose 1 effect: "Add 1 Counter of any type to any Demon monster you control, or any monster named "Red, God of Wrath", "Alkali, God of Gluttony", "Avarice, God of Greed", "Odia, God of Envy", "Atrifus, God of Sloth", "Consupi, God of Lust", or "Haught, God of Pride".", "Add 1000HP to any Demon Monster."
Mammon		SS	4	Demon/Deity	10000	100	Sacrifice	{ "Mammon why are you eating chocolate on the job?" "mmmmmmmm cause i like it?" "I swear to god, I can't stand you..." - Red and Mammon, 2309 } This card is destroyed in the End Phase. You take no overshoot damage involving this card. This card cannot be destroyed by battle. This card's summon is Unrespondable.
Leviathan		SS	3	Demon/Deity	3000	6000	Sacrifice	{ "Levia, girl, confess to him already! You know you like him!" "Well yea but I'm quite shy...I'll give it another hundred ye-" "It's been 500 years girl, go kiss and make out with that man!" "But he's scary..." "He got you your favorite coffee Levia, he ain't gonna hurt you." - Odia and Leviathan, 2180 } Once per turn, you can discard a card. If you do, this turn other Demon monsters cannot be destroyed by battle, and if their HP hits 0, it is reset.
Belphegor		SS	3	Demon/Deity	3400	6200	Sacrifice	{ "GAHHH LOOK AT RYUKI LOOK AT HIM ISNT HE SO CUTE :33333" "...uh, yea...belphi you good" - Belphegor and Atrifus, 1973 } All other Demon Monsters gain 600 ATK. If a Grade-D or below Demon or Fire Monster is destroyed by your opponent, this card can attack twice this turn.
Asmodeus		SS	3	Demon/Deity	3100	6200	Sacrifice	{ "Azzy girl, why are you messing with the flowers?" "they ain't look like they belong to anyone" "Those are the flowers I got for Levia for her date! Stop pluckin' em and hand em over!" - Odia and Asmodeus, 2310 } Once per turn, you can sacrifice any amount of Demon or Fire monsters and destroy an equal amount of monsters on the field.
Lucifer		SS	3	Demon/Deity	2700	6400	Sacrifice	{ "Lucifer why did you get me this coffee?" "I thought it would help you be more efficient at work." "Lucifer this is a Mochi Cookie Crumble Frappuchino with 180g of sugar, you know this isn't gonna help me...unless-" "NO I DIDN'T GET IT FOR YOU BECAUSE I KNEW YOU LIKED IT OKAY" - Leviathan and Lucifer, 2180 } Once per turn, you can pay 5 moons and choose 1 Demon monster. This turn, that monster gains 700 ATK and this effect: "If this card would be destroyed, you can discard 1 card instead and reset this card's HP."
Verdant Landscape		C						
Verdianescense		C						
Society		C						
Thinking Space		C						
Transfinite Void		C						
Open Window		C						
Magic of The North		C						
Oxygen Shotgun		C						
Wistful		C						
Thermonuclear Ballistic Missile		C						
Ditched Machine		C						
Muted Machine		C						
Chronology		D						
Pressure		D						
Variable Corruption		D						
Return From The Grade		D						
DEXO		D						
Fuming		D						
Solferis		D						
Death Wish		D						
Acropolis of Miracalis		B						
Low		B						
Gate To Hell		B						
Roentgenium		B						
Lobotomy		B						
Heliopolis		B						
Collection of Blood		A						
Death Corridor		A						
Haunted Corridor		A						
Conical Corridor		A						
Magician's Rose		S						
Total Darkness		S						
Kowa Dimension		S						
Green Bullet		A						
Sixfold Pain		SS						
Agoraphobia		SS						
Penumbral		SS						
Beginning of Summer		F						
Dual Processing		F						
Indentured Service		F	0	Instant	N/A	N/A	Assist	Set your tab to 20.
Baby Dragon's Breath		F						
Exposed Lung		F						
Ordinal		F						
The Neverworld		F						
Mathematical Impossibility		F	0	Cantrip	N/A	N/A	Cantrip	Roll 11d20. If all dice land on 20, your opponent must remove from play all cards on their field, their deck, their hand, their banished cards, and their graveyard, lock all of their zones, and set their LP to 100.
Kingdom of Miracalis		S						
Theory of Nothing		S						
Theory of Everything		S						
Asphodel		A						
The Third Variant		A						
Of Your Own Volition		S						
Integral		S						
Queue Error		S						
Arcturus		S						
End of Summer		SS						
